coluna,informacao,tipo,n,media,desvio,minimo,mediana,maximo,assimetria,relacao,p_valor,significancia,prevalencia,abandono_com,abandono_sem,diferenca
abnd_t,Abandono no ano anterior (Ensino Médio),contínua,1586,1.7239596469104668,4.795123017498584,0.0,0.0,43.6,4.592460069775043,0.48489148702192825,2.6391940403708045e-94,***,,,,
abnd_s1_t,Abandono no ano anterior — 1ª série,contínua,1586,2.1889286510972044,5.965111220741648,0.0,0.0,52.6,4.268467751787631,0.45687837745660104,1.2909545024443717e-82,***,,,,
abnd_s2_t,Abandono no ano anterior — 2ª série,contínua,1586,1.5100934939668718,4.478776167791341,0.0,0.0,47.9,4.91292403018635,0.44792603151248356,4.194410190833216e-79,***,,,,
abnd_s3_t,Abandono no ano anterior — 3ª série,contínua,1586,0.9442747407689852,3.984811228314292,0.0,0.0,50.0,7.408244790755241,0.36656039301536875,1.2725210428852791e-51,***,,,,
tdi_s1_t,Distorção idade-série — 1ª série,contínua,1586,26.891370906537755,14.333347934127787,0.0,25.2,97.8,1.164812874738737,0.27171278569793805,3.0504142258781064e-28,***,,,,
tdi_med_t,Distorção idade-série (Ensino Médio),contínua,1586,23.29237077871128,12.964702382943097,1.3,21.35,97.4,1.7477241492675777,0.2653264000130108,5.833060403716993e-27,***,,,,
tdi_s2_t,Distorção idade-série — 2ª série,contínua,1586,22.220201922530347,12.972093329627674,0.0,20.25,100.0,1.729053217521025,0.24610925141187714,2.6027294154223756e-23,***,,,,
afd_g5_t,Adequação da formação docente — Grupo 5,contínua,1586,3.058890290037831,14.378518406822652,0.0,0.0,100.0,5.458115310920794,0.21416358462946933,6.551416483075865e-18,***,,,,
pct_integral,% de matrículas em tempo integral,contínua,1586,59.6325528955349,44.870145730786646,0.0,88.24372155739087,100.0,-0.41981340275671647,-0.21169757678396348,1.583469287102451e-17,***,,,,
tdi_s3_t,Distorção idade-série — 3ª série,contínua,1586,18.29328635787261,12.799618414598797,0.0,15.5,100.0,2.0788012617525014,0.187123207325223,5.792605218716173e-14,***,,,,
reprov_t,Reprovação no ano anterior (Ensino Médio),contínua,1586,4.545712484237074,4.676289332480191,0.0,3.5,55.3,3.177021492868232,0.17861391246587302,7.760800580795966e-13,***,,,,
afd_g1_t,Adequação da formação docente — Grupo 1,contínua,1586,54.30605296343001,14.638438701881388,0.0,55.25,92.1,-1.113759123780592,-0.17114929294759085,6.825348446331178e-12,***,,,,
inse_media,Nível socioeconômico (INSE),contínua,1586,4.462022145481391,0.30211169159359613,2.97,4.45,6.1,0.09445769203881046,-0.17089391594341993,7.340035607004661e-12,***,,,,
reprov_s1_t,Reprovação no ano anterior — 1ª série,contínua,1586,6.0511122577579775,5.654021514547686,0.0,4.8,50.0,1.9982763697002495,0.1581890386321094,2.3768642143506035e-10,***,,,,
alunos_por_turma,Alunos por turma,contínua,1586,33.099092731557505,6.963091807462184,5.0,34.21825396825397,50.0,-1.0115612190677936,-0.156816725855872,3.40477582405878e-10,***,,,,
reprov_s2_t,Reprovação no ano anterior — 2ª série,contínua,1586,4.509819701160826,4.663610815378666,0.0,3.4,32.1,1.9456554100518786,0.13455405414645388,7.497758013734238e-08,***,,,,
indice_infra,Índice de infraestrutura,contínua,1586,0.6448612862547288,0.1796437296684055,0.09090909090909091,0.6666666666666666,1.0,-0.3048234500351026,-0.12082546718661216,1.3949633376357453e-06,***,,,,
reprov_s3_t,Reprovação no ano anterior — 3ª série,contínua,1586,1.6967679068270383,3.15425511139267,0.0,0.55,38.5,4.488919642407668,0.11987553432302822,1.6886674758157456e-06,***,,,,
alunos_por_docente,Alunos por docente,contínua,1586,18.286762114570987,5.9528530876847805,1.0,18.824808184143222,34.25,-0.28076536775813055,-0.08514036522169108,0.0006883610322623752,***,,,,
ird_med_t,Regularidade do corpo docente (IRD),contínua,1586,3.3577934282537436,0.4872019836686896,1.83995,3.3550085000000003,4.862549,-0.04963377885356303,0.0817771500873664,0.0011155508617748538,**,,,,
computadores_por_aluno,Computadores por aluno,contínua,1586,0.06637329986755829,0.1051557088416725,0.0,0.03990049751243781,2.0,6.842794945939048,-0.07637735816205207,0.0023365117034303048,**,,,,
log_mat_med,Porte (nº de matrículas),contínua,1586,5.726032886510144,0.7064541214199219,2.0794415416798357,5.8664680569332965,7.226936018493289,-1.160021098799803,-0.041708954444210126,0.09682275120522148,,,,,
afd_g3_t,Adequação da formação docente — Grupo 3,contínua,1586,39.43839848675914,13.063231119283177,0.0,40.2,100.0,-0.0706496027023263,0.008789629738372738,0.7265080163257833,,,,,
is_loc_diferenciada,Localização diferenciada (indígena/quilombola),binária,1586,,,,,,,0.287367403403619,2.6225594818902834e-30,***,5.10718789407314,8.950617283950617,0.6998006644518273,8.25081661949879
is_rural,Localização rural,binária,1586,,,,,,,0.1564024169791164,4.766478402696567e-10,***,13.745271122320302,3.742201834862385,0.7035087719298246,3.0386930629325604
IN_BIBLIOTECA,Biblioteca,binária,1586,,,,,,,-0.06753229283315892,0.007177690446012149,**,90.66834804539722,0.9267732962447843,3.0101351351351346,-2.08336183889035
IN_LABORATORIO_INFORMATICA,Laboratório de informática,binária,1586,,,,,,,-0.11563365474959715,4.15380149793771e-06,***,77.42749054224464,0.7354234527687296,2.4444134078212287,-1.7089899550524992
IN_BANDA_LARGA,Banda larga,binária,1586,,,,,,,-0.04463131023354387,0.0756072380392505,,87.83102143757881,0.9516870064608759,2.344559585492228,-1.3928725790313519
IN_QUADRA_ESPORTES,Quadra de esportes,binária,1586,,,,,,,-0.056069337801127744,0.025604188949418634,*,70.61790668348046,0.7860714285714286,1.9266094420600857,-1.1405380134886571
IN_LABORATORIO_CIENCIAS,Laboratório de ciências,binária,1586,,,,,,,-0.09700965959334151,0.00011242224414060563,***,44.4514501891551,0.5324822695035462,1.5922814982973896,-1.0597992287938434
IN_ESGOTO_REDE_PUBLICA,Esgoto em rede pública,binária,1586,,,,,,,-0.03723281752383116,0.13827445355883022,,60.02522068095839,0.7363445378151261,1.6990536277602524,-0.9627090899451263
IN_AGUA_POTAVEL,Água potável,binária,1586,,,,,,,-0.007319654254226546,0.7708552308855676,,95.14501891551072,1.0809807819748178,1.9090909090909094,-0.8281101271160916
IN_INTERNET_ALUNOS,Internet para alunos,binária,1586,,,,,,,-0.09516591479484526,0.0001514524811826803,***,73.77049180327869,0.9187179487179487,1.6906249999999998,-0.7719070512820512
IN_INTERNET,Internet,binária,1586,,,,,,,-0.043336874751191495,0.0845368487882979,,99.24337957124843,1.11569250317662,1.8416666666666668,-0.7259741634900467
IN_REFEITORIO,Refeitório,binária,1586,,,,,,,-0.05413479263878165,0.03115035973267475,*,32.219419924337956,0.7299412915851272,1.3071627906976744,-0.5772214991125472
