repeticao,modelo,rmse,mae,r2,spearman,precision_at_k,k
1,ridge,1.9513549799702565,0.7663464102122357,0.5514342214077443,0.4629808671544542,0.68,25
1,random_forest,2.035163725663411,1.0416898046591805,0.5120758859606906,0.4411941664383839,0.68,25
1,xgboost,2.2600832467097387,1.1227082372186667,0.39826891457846203,0.43549413041185686,0.68,25
1,dummy,2.916257082469446,1.66222838981154,-0.0018557353969470558,,0.04,25
2,ridge,2.526952997127317,1.1389958496747803,0.357032743325006,0.4421293974890565,0.5652173913043478,23
2,random_forest,2.28716424412836,1.2344047383405903,0.47326856796799555,0.4170831596902724,0.6086956521739131,23
2,xgboost,2.440576169496801,1.2775953396370536,0.40023756376627784,0.4230651147359784,0.6086956521739131,23
2,dummy,3.1729432701597995,1.8111296281941967,-0.013722635058001309,,0.0,23
3,ridge,2.059473622909769,0.9303992286545892,0.0005920057323197669,0.36152769195538864,0.43478260869565216,23
3,random_forest,1.9438055133591308,1.0699629447430907,0.10970082645213552,0.3464063961185792,0.43478260869565216,23
3,xgboost,1.9730315066146724,1.1049980871092813,0.08272746130451047,0.35112738076185124,0.43478260869565216,23
3,dummy,2.077635898362807,1.4722146361199613,-0.01711306340841423,,0.0,23
4,ridge,3.2120023833986533,1.2621020308101714,0.3961698835472347,0.48086284680111174,0.5428571428571428,35
4,random_forest,2.9779174504938455,1.4119678275552932,0.4809748989842797,0.4620420683113087,0.5428571428571428,35
4,xgboost,3.0760988876453297,1.456743207084221,0.44618637315749987,0.4532692657844309,0.4857142857142857,35
4,dummy,4.163945471033785,1.9321363173723547,-0.014782850975958661,,0.08571428571428572,35
5,ridge,1.7696992907653877,0.6602263087867426,0.09278847872408014,0.2661439028669569,0.3333333333333333,30
5,random_forest,1.7974232693236678,0.8368681219115196,0.0641412121880568,0.2612443022646804,0.3,30
5,xgboost,1.8171511107281408,0.8758885745034121,0.04348520684774748,0.2626356817588537,0.3,30
5,dummy,1.9636974513677343,1.3833533077660594,-0.1170143597809743,,0.03333333333333333,30
6,ridge,2.7570245119218484,1.0726950272726217,0.23529177177351102,0.41341281093342375,0.5151515151515151,33
6,random_forest,2.5326056730137445,1.21625846545083,0.35471783869566753,0.44689575366559464,0.48484848484848486,33
6,xgboost,2.6590893784246057,1.2689214227286107,0.2886548429536555,0.41239378526121034,0.42424242424242425,33
6,dummy,3.15648059654556,1.732986742170611,-0.0023531431215422227,,0.0,33
7,ridge,2.83094615770982,1.023761105151474,0.3034727004217981,0.38710024466935633,0.5,38
7,random_forest,2.791518391511463,1.1709204331474712,0.3227392445759709,0.41030926665273865,0.5263157894736842,38
7,xgboost,2.6718221498164,1.1300514126726604,0.3795739626324893,0.41721697464500845,0.5263157894736842,38
7,dummy,3.39206246521052,1.6600431037289283,-6.001034328351196e-06,,0.13157894736842105,38
8,ridge,2.193229287483355,0.9912480730402762,0.153712159586896,0.3213841514009352,0.4230769230769231,26
8,random_forest,2.144157092102406,1.0513113504513822,0.19115886608426813,0.44627711780445717,0.5,26
8,xgboost,2.271559855347136,1.0840971532277761,0.09218281966513187,0.4269909082373697,0.46153846153846156,26
8,dummy,2.3866196027393936,1.4778547932330823,-0.002112396345900658,,0.11538461538461539,26
9,ridge,3.141274020276836,1.062604387619933,0.21129815717304923,0.5390953008658261,0.43478260869565216,23
9,random_forest,2.834735765621534,1.1616496971297439,0.3577170743744381,0.45659722325835317,0.391304347826087,23
9,xgboost,2.8981112379956415,1.1922986055586648,0.3286773311746892,0.4363451877111333,0.4782608695652174,23
9,dummy,3.537287140382308,1.6812889572912655,-9.634711103267968e-05,,0.08695652173913043,23
10,ridge,2.2724468626983123,0.8238856564296295,0.2902415758594208,0.41990606640364103,0.5681818181818182,44
10,random_forest,2.1095802301964985,1.001058665662751,0.38833282328838714,0.4634051734592566,0.5227272727272727,44
10,xgboost,2.1372258924927308,1.0146236296727351,0.37219620537616527,0.42192105673574165,0.6136363636363636,44
10,dummy,2.7042601927413066,1.5727375565610862,-0.005124902347435345,,0.06818181818181818,44
11,ridge,1.7734506354707336,0.703302479595004,0.1283202335580199,0.3443102606823495,0.3939393939393939,33
11,random_forest,1.9000935805969679,0.9065815751655687,-0.0006189838215742149,0.3285801540700152,0.3939393939393939,33
11,xgboost,1.9178279076495302,0.9506398594080496,-0.019384497771027576,0.3303402747869106,0.3333333333333333,33
11,dummy,1.9741056525797709,1.4108697071475724,-0.08008899425732885,,0.06060606060606061,33
12,ridge,3.4441384100972634,1.202890838757965,0.4149172121150755,0.4820676887166185,0.4772727272727273,44
12,random_forest,3.4757781642394616,1.4773243280235013,0.4041180493090061,0.43932346036794073,0.5,44
12,xgboost,3.44918898309264,1.4923722148966898,0.4131999931053758,0.41137711115073505,0.5,44
12,dummy,4.509163114349959,1.871922616673315,-0.002877808045632868,,0.045454545454545456,44
13,ridge,2.3966134668507997,0.8003918693719622,0.06205538667726074,0.35778826903785355,0.46153846153846156,39
13,random_forest,2.401803203262143,0.9927621408416291,0.05798885218332972,0.4557469278850659,0.4358974358974359,39
13,xgboost,2.311457646759958,0.9790004268520236,0.12752481560714934,0.3937807722084042,0.46153846153846156,39
13,dummy,2.503421814828481,1.5134024179620034,-0.023409084119488277,,0.07692307692307693,39
14,ridge,3.1673722628392165,1.137953795635353,0.45457571368126104,0.5049423058731333,0.5,38
14,random_forest,3.2800294812220274,1.3978059734120678,0.41508636144427624,0.47648077849505127,0.47368421052631576,38
14,xgboost,3.2262562541594737,1.4031996388540227,0.4341074551954509,0.45449607943556397,0.5,38
14,dummy,4.291335942054093,1.8237639721083427,-0.001201016261489718,,0.10526315789473684,38
15,ridge,3.8640796101307466,1.5504962689757291,0.48989285469268773,0.5798635158643085,0.6875,32
15,random_forest,3.8402848087123376,1.7675129451373237,0.4961559378443654,0.5567821635823236,0.65625,32
15,xgboost,3.9638021333300593,1.770245533528782,0.4632238510466662,0.5404785482156139,0.6875,32
15,dummy,5.516576807351691,2.384071534724564,-0.039701365967395486,,0.03125,32
16,ridge,3.0508387946787403,0.9617938455102295,0.09830570598926613,0.3620131562805062,0.5185185185185185,27
16,random_forest,2.902873534017989,1.1519312425128552,0.18364880538335515,0.33957417598980666,0.48148148148148145,27
16,xgboost,2.8902751722555577,1.1957703268730686,0.1907192960376749,0.36812621647434246,0.5185185185185185,27
16,dummy,3.2178570043334243,1.661618094726475,-0.0031232184482314906,,0.07407407407407407,27
17,ridge,3.2219392776818134,1.2093181118931466,0.2034275031796292,0.525513257242959,0.5714285714285714,35
17,random_forest,2.962561892681692,1.4131835190405926,0.3265188117190041,0.4744268348337593,0.5714285714285714,35
17,xgboost,3.112293541567602,1.4323231946547768,0.25672126476561496,0.4549032803815924,0.4857142857142857,35
17,dummy,3.6263014226330985,1.8607011001305243,-0.009063287759216054,,0.08571428571428572,35
18,ridge,2.5938534693308433,0.9328178563241487,0.13745088743101674,0.4836852642187731,0.6111111111111112,18
18,random_forest,2.713938622001729,1.2133567092742976,0.055736943314341425,0.5609462793353563,0.5,18
18,xgboost,2.715510945066843,1.200902031462514,0.05464250687509853,0.5530856073161483,0.6111111111111112,18
18,dummy,2.792979435303905,1.5810090015321754,-6.546855985534172e-05,,0.2777777777777778,18
19,ridge,2.861815899416379,1.1418430307956353,0.30956063126284206,0.44382761010584726,0.6,20
19,random_forest,2.539441876863639,1.2214815599123052,0.456350845870757,0.4577512083286559,0.65,20
19,xgboost,2.7292708870615767,1.2664850668172645,0.3720349869722279,0.4358870780734926,0.6,20
19,dummy,3.4576823929813774,1.830463132768608,-0.007888197024846777,,0.0,20
20,ridge,1.4716304380791987,0.6114601994107248,0.14692732233153427,0.37816162682604443,0.44,25
20,random_forest,1.4546606559475128,0.7867156984092271,0.16648792813347002,0.3848569982684423,0.36,25
20,xgboost,1.4130736969329027,0.8178448192599252,0.21346485383944547,0.33776047232897216,0.36,25
20,dummy,1.7097446792435014,1.3401344257643468,-0.15146576594834227,,0.04,25
