cenario,ano_features,ano_abandono,modelo,repeticao,n_teste,rmse,mae,spearman,precision_at_k,roc_auc
2022 → 2023,2022,2023,xgboost,1,126,2.756948372735579,1.3623985468868227,0.515429860171518,0.6923076923076923,0.9666439754935331
2022 → 2023,2022,2023,xgboost,2,114,2.2253353194214074,1.214782633384069,0.5445378280679515,0.7272727272727273,0.9587418300653594
2022 → 2023,2022,2023,xgboost,3,117,2.1260121543323716,1.112836772367422,0.4463887298550156,0.6666666666666666,0.9126984126984127
2022 → 2023,2022,2023,xgboost,4,177,3.28080899050441,1.5359205677431853,0.4817294092733582,0.7222222222222222,0.9643605870020964
2022 → 2023,2022,2023,xgboost,5,150,2.0791617259967063,0.9558600728313128,0.26983834315661265,0.3333333333333333,0.6837037037037038
2022 → 2023,2022,2023,xgboost,6,169,2.8075723451084236,1.282401798471544,0.47305231258187047,0.5882352941176471,0.8869969040247677
2022 → 2023,2022,2023,xgboost,7,192,2.4827729973164963,1.039509981032461,0.48734241929524247,0.7368421052631579,0.9479651162790697
2022 → 2023,2022,2023,xgboost,8,127,1.9125615348087512,0.9334296617568948,0.517398150709087,0.6923076923076923,0.9321862348178137
2022 → 2023,2022,2023,xgboost,9,115,3.7028254159058327,1.4721260357162227,0.5328197179547469,0.5,0.872168284789644
2022 → 2023,2022,2023,xgboost,10,222,1.8799983236792137,1.002722797675377,0.4900970680690784,0.7272727272727273,0.9493117762726677
2022 → 2023,2022,2023,xgboost,11,165,2.2964965839748626,1.0426639598698326,0.4044255835812053,0.3125,0.7534013605442177
2022 → 2023,2022,2023,xgboost,12,220,3.902538656433519,1.6352796999669885,0.45228864165994104,0.6818181818181818,0.9088613406795225
2022 → 2023,2022,2023,xgboost,13,194,2.406667984822101,1.0133737629068267,0.4576707341275234,0.5263157894736842,0.9241379310344827
2022 → 2023,2022,2023,xgboost,14,192,3.2678727980166653,1.4122012441667418,0.5354452351778177,0.631578947368421,0.9264828738512949
2022 → 2023,2022,2023,xgboost,15,158,3.8294454369406545,1.6677168040996109,0.6098066709419026,0.8125,0.991637323943662
2022 → 2023,2022,2023,xgboost,16,136,3.4102225952365646,1.4751283041557623,0.2862607244134162,0.6428571428571429,0.7704918032786886
2022 → 2023,2022,2023,xgboost,17,177,3.65276221570749,1.7663470786591033,0.5331726836502922,0.6111111111111112,0.9229559748427674
2022 → 2023,2022,2023,xgboost,18,89,3.9702481657040454,1.574070208461097,0.5655065909676341,0.6666666666666666,0.9222222222222222
2022 → 2023,2022,2023,xgboost,19,100,2.929170862292222,1.3482433150112627,0.35578252039234054,0.8,0.9666666666666667
2022 → 2023,2022,2023,xgboost,20,127,1.4061786314314284,0.8403640034513211,0.4147593328136526,0.46153846153846156,0.8609986504723347
2023 → 2024,2023,2024,xgboost,1,125,1.9788239862948707,0.9773421031355857,0.37326631160454354,0.5833333333333334,0.8956043956043956
2023 → 2024,2023,2024,xgboost,2,114,2.384700231161498,1.2746986709665833,0.34314104766093056,0.36363636363636365,0.8709150326797386
2023 → 2024,2023,2024,xgboost,3,117,1.7125649347819167,0.9778530260945997,0.3243833381650565,0.4166666666666667,0.8182539682539682
2023 → 2024,2023,2024,xgboost,4,176,3.0752613900562804,1.3602656141600826,0.42838697627296457,0.3888888888888889,0.8150492264416315
2023 → 2024,2023,2024,xgboost,5,148,1.4666764359120086,0.7046856719698454,0.19104087298593864,0.4,0.7461152882205514
2023 → 2024,2023,2024,xgboost,6,165,2.4650274187036874,1.227987929690968,0.35865401139322856,0.375,0.8016693163751988
2023 → 2024,2023,2024,xgboost,7,191,2.812736030861962,1.1312275819207362,0.3372056071318069,0.3157894736842105,0.7461988304093566
2023 → 2024,2023,2024,xgboost,8,129,2.017413232230843,1.074716604518336,0.33298959866366273,0.23076923076923078,0.7546419098143237
2023 → 2024,2023,2024,xgboost,9,115,1.485746923395154,0.8457742798587552,0.35558356198938273,0.5833333333333334,0.8325242718446603
2023 → 2024,2023,2024,xgboost,10,220,2.3890213464078194,1.006085434569554,0.41305067734395234,0.45454545454545453,0.8505848598543367
2023 → 2024,2023,2024,xgboost,11,164,1.4370591937570965,0.791778851918331,0.27139974265790034,0.3125,0.7951180472188876
2023 → 2024,2023,2024,xgboost,12,216,2.2731963914611826,1.1488978738448135,0.3917441510060086,0.4090909090909091,0.829311152764761
2023 → 2024,2023,2024,xgboost,13,192,2.2877262506967044,0.9093976436182857,0.36893950920400687,0.3684210526315789,0.7686046511627906
2023 → 2024,2023,2024,xgboost,14,186,2.604139644370812,1.233619163830274,0.44558728308899,0.42105263157894735,0.8512448786637252
2023 → 2024,2023,2024,xgboost,15,157,3.5178727819353193,1.7845607134187298,0.4861458095867316,0.25,0.8457446808510638
2023 → 2024,2023,2024,xgboost,16,136,1.334112047038104,0.7581695858608274,0.41020133043174056,0.42857142857142855,0.8325526932084308
2023 → 2024,2023,2024,xgboost,17,169,2.512488985274901,1.2427559804964878,0.4066610587003014,0.35294117647058826,0.8132739938080495
2023 → 2024,2023,2024,xgboost,18,89,1.6485188982876093,0.8437274581260895,0.45285924564260155,0.3333333333333333,0.8527777777777777
2023 → 2024,2023,2024,xgboost,19,98,2.426061379565791,1.2587937864722039,0.4111722622921706,0.4,0.7943181818181818
2023 → 2024,2023,2024,xgboost,20,127,1.4445112349982092,0.7737483861174171,0.2371443112676086,0.23076923076923078,0.7479757085020243
