CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,NU_ANO_CENSO,y_real,y_pred,residuo,residuo_z
26126052,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL CORONEL OTHON,Recife,2023,23.7,1.6188098192214966,22.081190180778503,10.774519308681727
26004488,ESCOLA NOSSA SENHORA DO SOCORRO,Ipubi,2022,21.7,4.731701850891113,16.968298149108886,8.279683049068161
26104245,ESCOLA SAO FRANCISCO DE ASSIS - LT,São José da Coroa Grande,2022,16.6,1.0346101522445679,15.565389847755434,7.595133780777328
26028506,ESCOLA ESTADUAL INDIGENA AIMBERE,Inajá,2022,23.8,8.512725830078125,15.287274169921876,7.4594272035352525
26028409,ESCOLA MARIA GILDETE ARAUJO,Inajá,2022,29.4,14.919317245483398,14.4806827545166,7.065850828876508
26042711,ESCOLA DO ESPINHEIRO,Tacaratu,2022,39.5,26.9974365234375,12.5025634765625,6.100627297866615
26064006,ESCOLA PROFESSORA MARIA LUCIA ALVES,Santa Cruz do Capibaribe,2023,14.0,1.56509530544281,12.43490469455719,6.06761318734314
26009323,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO VALDICLEIWTSON DA SILVA MENEZES,Cedro,2022,12.4,0.8064029216766357,11.593597078323365,5.6570970384653005
26186446,ESCOLA ESTADUAL INDIGENA QUITERIA MARIA DE JESUS,Jatobá,2022,30.9,19.61162567138672,11.28837432861328,5.50816356235843
26155435,ESCOLA JOAQUIM ROSENO DOS SANTOS,Floresta,2022,26.5,15.338021278381348,11.161978721618652,5.446488811271795
26419831,ESCOLA ESTADUAL JOSE FERREIRA DA SILVA,Floresta,2022,32.5,21.53254508972168,10.96745491027832,5.351570894976267
26044447,ESCOLA ESTADUAL INDIGENA FULNI-O MARECHAL RONDON,Águas Belas,2022,20.1,9.58527946472168,10.514720535278322,5.130659104207503
26042096,ESCOLA ESTADUAL INDIGENA JOSE LUCIANO,Jatobá,2022,39.1,28.708322525024414,10.391677474975587,5.070620228667853
26037599,ESCOLA PROFESSORA JUDITH GOMES DE BARROS,Santa Maria da Boa Vista,2022,14.7,5.052135467529297,9.647864532470702,4.707676617139042
26040468,ESCOLA OLHO DAGUA DO PADRE,Carnaubeira da Penha,2023,18.2,8.758041381835938,9.441958618164062,4.607204802381526
