CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,is_rural,is_loc_diferenciada,NU_ANO_CENSO,y_real,y_pred,residuo,grupo
26000024,ESCOLA DE REFERENCIA EM ENSINO MEDIO LUIZ GONZAGA DUARTE,Araripina,0,0,2023,0.0,2.3159327507019043,-2.3159327507019043,urbana
26000636,ESCOLA DE REFERENCIA EM ENSINO MEDIO MANOEL RIBEIRO DAMASCENO,Araripina,0,0,2023,0.0,0.9079903364181519,-0.9079903364181519,urbana
26000741,ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE LUIZ GONZAGA,Araripina,0,0,2023,0.4,0.5734328627586365,-0.17343286275863645,urbana
26000792,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR MANOEL BONIFACIO COSTA,Araripina,0,0,2023,1.1,2.025451183319092,-0.9254511833190917,urbana
26001225,ESCOLA SAO JOAO BATISTA - ARARIPINA,Araripina,0,0,2023,3.8,4.686732292175293,-0.8867322921752931,urbana
26001594,ESCOLA DE REFERENCIA EM ENSINO MEDIO MOISES BOM DE OLIVEIRA,Araripina,0,0,2023,0.0,0.9079903364181519,-0.9079903364181519,urbana
26001624,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANIZIO RODRIGUES COELHO,Araripina,0,0,2023,0.4,0.5658435225486755,-0.16584352254867551,urbana
26001896,ESCOLA VITALINA MARIA DE JESUS,Araripina,0,0,2023,6.9,1.1924766302108765,5.707523369789124,urbana
26001900,ESCOLA JOAO CARLOS LOCIO DE ALMEIDA,Bodocó,0,0,2023,0.0,0.8967283368110657,-0.8967283368110657,urbana
26001942,ESCOLA DE REFERENCIA EM ENSINO MEDIO ARTUR BARROS CAVALCANTI,Bodocó,0,0,2023,0.0,0.47726261615753174,-0.47726261615753174,urbana
26003066,ESCOLA DE REFERENCIA EM ENSINO MEDIO BARAO DE EXU,Exu,0,0,2023,0.0,0.5658435225486755,-0.5658435225486755,urbana
26003210,ESCOLA SAO VICENTE DE PAULA - EXU,Exu,0,0,2023,6.9,3.093897581100464,3.8061024188995365,urbana
26003821,ESCOLA NELSON ARAUJO,Exu,0,0,2023,5.3,0.8941463232040405,4.405853676795959,urbana
26004488,ESCOLA NOSSA SENHORA DO SOCORRO,Ipubi,0,0,2023,2.7,3.2487804889678955,-0.5487804889678953,urbana
26004518,ESCOLA DE REFERENCIA EM ENSINO MEDIO ARAO PEIXOTO DE ALENCAR,Ipubi,0,0,2023,0.2,0.5731757879257202,-0.3731757879257202,urbana
26004593,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM EUGENIO SILVA,Ipubi,0,0,2023,0.0,0.6050783395767212,-0.6050783395767212,urbana
26005107,ESCOLA DE REFERENCIA EM ENSINO MEDIO SAO SEBASTIAO - OURICURI,Ouricuri,0,0,2023,0.0,1.5095313787460327,-1.5095313787460327,urbana
26005115,ESCOLA DE REFERENCIA EM ENSINO MEDIO FERNANDO BEZERRA,Ouricuri,0,0,2023,0.6,0.47726261615753174,0.12273738384246824,urbana
26006138,ESCOLA DOM IDILIO JOSE SOARES,Ouricuri,0,0,2023,0.2,0.7994381785392761,-0.5994381785392762,urbana
26006499,ESCOLA PROFESSOR TELESFORO SIQUEIRA,Ouricuri,0,0,2023,0.0,0.6663774251937866,-0.6663774251937866,urbana
26008181,ESCOLA DE REFERENCIA EM ENSINO MEDIO PRESIDENTE MEDICI - MOREILANDIA,Moreilândia,0,0,2023,1.5,0.5658435225486755,0.9341564774513245,urbana
26008505,ESCOLA MARIA LUIZA DE BRITO FERREIRA,Moreilândia,0,0,2023,0.0,0.5081440806388855,-0.5081440806388855,urbana
26008530,ESCOLA DE REFERENCIA EM ENSINO MEDIO GOVERNADOR MUNIZ FALCAO,Trindade,0,0,2023,0.0,0.5081440806388855,-0.5081440806388855,urbana
26008882,ESCOLA PROFESSORA ANTONIA MARINHO APOLINARIO,Trindade,0,0,2023,0.0,0.637785017490387,-0.637785017490387,urbana
26009315,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR MANOEL JOAQUIM LEITE,Cedro,0,0,2023,1.0,0.5658435225486755,0.43415647745132446,urbana
26009323,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO VALDICLEIWTSON DA SILVA MENEZES,Cedro,0,0,2023,1.2,3.6288983821868896,-2.4288983821868895,urbana
26009390,ESCOLA DE REFERENCIA EM ENSINO MEDIO FRANCISCO PIRES,Mirandiba,0,0,2023,0.0,0.5081440806388855,-0.5081440806388855,urbana
26009617,ESCOLA FRANCISCO ALVES DE CARVALHO,Mirandiba,0,0,2023,0.9,0.6929160952568054,0.2070839047431946,urbana
26010151,ESCOLA DE REFERENCIA EM ENSINO MEDIO ODORICO MELO,Parnamirim,0,0,2023,0.5,0.5081440806388855,-0.008144080638885498,urbana
26010607,ESCOLA EUCLIDES DA CUNHA,Parnamirim,0,0,2023,0.3,0.8105481266975403,-0.5105481266975402,urbana
26011050,ESCOLA ANTONIO VIEIRA DE BARROS,Salgueiro,0,0,2023,0.0,1.2940908670425415,-1.2940908670425415,urbana
26011069,ESCOLA DE REFERENCIA EM ENSINO MEDIO AURA SAMPAIO PARENTE MUNIZ,Salgueiro,0,0,2023,0.0,0.47726261615753174,-0.47726261615753174,urbana
26011344,ESCOLA TECNICA ESTADUAL PROFESSOR URBANO GOMES DE SA,Salgueiro,0,0,2023,0.0,0.5081440806388855,-0.5081440806388855,urbana
26011352,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PROFESSORA MAURINA RODRIGUES DOS SANTOS,Salgueiro,0,0,2023,0.0,0.625564694404602,-0.625564694404602,urbana
26011506,ESCOLA JOSE PEDRO PEREIRA,Salgueiro,1,1,2023,3.3,3.446660280227661,-0.1466602802276613,diferenciada
26011611,ESCOLA DE REFERENCIA EM ENSINO MEDIO CARLOS PENA FILHO,Salgueiro,0,0,2023,0.4,0.5473788976669312,-0.14737889766693113,urbana
26011883,ESCOLA PROFESSOR MANUEL LEITE,Salgueiro,0,0,2023,0.0,2.748234272003174,-2.748234272003174,urbana
26012081,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO AGRICOLA DE UMAS,Salgueiro,1,0,2023,2.0,0.637785017490387,1.362214982509613,rural
26012359,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOUTOR WALMY CAMPOS BEZERRA,São José do Belmonte,0,0,2023,0.0,0.47726261615753174,-0.47726261615753174,urbana
26013185,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PROFESSOR MANOEL DE QUEIROZ,São José do Belmonte,0,0,2023,0.0,0.6686254739761353,-0.6686254739761353,urbana
26013436,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO NAPOLEAO ARAUJO,São José do Belmonte,0,0,2023,0.0,0.615992546081543,-0.615992546081543,urbana
26013452,ESCOLA DE REFERENCIA EM ENSINO MEDIO DESEMBARGADOR JOAO PAES,Serrita,0,0,2023,0.2,0.6050783395767212,-0.4050783395767212,urbana
26014190,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANISIO VERAS,Verdejante,0,0,2023,1.5,0.6522192358970642,0.8477807641029358,urbana
26014564,ESCOLA DE REFERENCIA EM ENSINO MEDIO NORMAL ESTADUAL PROFESSORA IONE DE GOES BARROS,Afogados da Ingazeira,0,0,2023,0.0,0.47726261615753174,-0.47726261615753174,urbana
26014572,ESCOLA DE REFERENCIA EM ENSINO MEDIO CONEGO JOAO LEITE GONCALVES DE ANDRADE,Afogados da Ingazeira,0,0,2023,0.0,0.8372384905815125,-0.8372384905815125,urbana
26014670,ESCOLA DE REFERENCIA EM ENSINO MEDIO MONSENHOR ANTONIO DE PADUA SANTOS,Afogados da Ingazeira,0,0,2023,0.0,0.5164971947669983,-0.5164971947669983,urbana
26015315,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSE SEVERINO DE ARAUJO,Brejinho,0,0,2023,3.6,0.6214872598648071,2.978512740135193,urbana
26015625,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANTONIO GOMES DE LIMA,Calumbi,0,0,2023,0.7,0.5081440806388855,0.19185591936111446,urbana
26016010,ESCOLA JOAO GOMES DOS REIS,Carnaíba,0,0,2023,1.1,5.2740278244018555,-4.174027824401856,urbana
26016028,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUIM MENDES DA SILVA,Carnaíba,0,0,2023,0.3,0.5081440806388855,-0.2081440806388855,urbana
26016540,ESCOLA DE REFERENCIA EM ENSINO MEDIO AIRES GAMA,Flores,0,0,2023,0.0,0.792474627494812,-0.792474627494812,urbana
26016729,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO DARIO GOMES DE LIMA,Flores,1,0,2023,0.0,0.7994381785392761,-0.7994381785392761,rural
26017598,ESCOLA ESTADUAL JOAQUIM ALVES DE FREITAS,Iguaracy,1,0,2023,0.0,0.5658435225486755,-0.5658435225486755,rural
26017750,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA ROSETE BEZERRA DE SOUZA,Iguaracy,0,0,2023,0.0,0.5081440806388855,-0.5081440806388855,urbana
26018020,ESCOLA DE REFERENCIA EM ENSINO MEDIO ARISTAQUE JOSE DE VERAS,Ingazeira,0,0,2023,1.3,1.125330924987793,0.17466907501220708,urbana
26018314,ESCOLA DE REFERENCIA EM ENSINO MEDIO TERESA TORRES,Itapetim,0,0,2023,4.0,2.5195093154907227,1.4804906845092773,urbana
26018977,ESCOLA TOME FRANCISCO DA SILVA,Quixaba,1,0,2023,1.1,0.9036226272583008,0.1963773727416993,rural
26019370,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO SANTA CRUZ,Santa Cruz da Baixa Verde,0,0,2023,9.5,4.138911724090576,5.361088275909424,urbana
26019493,ESCOLA DE REFERENCIA EM ENSINO MEDIO SANTA TEREZINHA,Santa Terezinha,0,0,2023,1.0,0.5164971947669983,0.4835028052330017,urbana
26019825,ESCOLA DE REFERENCIA EM ENSINO MEDIO EDSON SIMOES,São José do Egito,0,0,2023,2.7,0.7804516553878784,1.9195483446121218,urbana
26019922,ESCOLA DE REFERENCIA EM ENSINO MEDIO OLIVEIRA LIMA - SJ EGITO,São José do Egito,0,0,2023,0.0,0.5081440806388855,-0.5081440806388855,urbana
26019949,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL PROFESSOR SEBASTIAO FERREIRA RABELO SOBRINHO,São José do Egito,0,0,2023,0.0,1.496522307395935,-1.496522307395935,urbana
26020572,ESCOLA MAXIMA VIEIRA DE MELO,São José do Egito,1,0,2023,0.0,0.6948629021644592,-0.6948629021644592,rural
