CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,CO_MESORREGIAO,is_rural,is_loc_diferenciada,taxa_abandono_t1,predito,residuo,mesorregiao,grupo
26126052,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL CORONEL OTHON,Recife,2605,0,0,23.7,0.0017485293113856375,23.698251470688614,Metropolitana,acima_do_esperado
26040468,ESCOLA OLHO DAGUA DO PADRE,Carnaubeira da Penha,2602,1,1,18.2,5.045081906039581,13.154918093960418,Sertão,acima_do_esperado
26064006,ESCOLA PROFESSORA MARIA LUCIA ALVES,Santa Cruz do Capibaribe,2603,0,0,14.0,1.0947038810012675,12.905296118998733,Agreste,acima_do_esperado
26127636,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO EDUCADOR PAULO FREIRE,Recife,2605,0,0,9.9,0.380157119462556,9.519842880537444,Metropolitana,acima_do_esperado
26186411,ESCOLA ESTADUAL INDIGENA JOSEFA ALICE DA CONCEICAO,Itacuruba,2602,1,1,13.2,3.682490099528555,9.517509900471444,Sertão,acima_do_esperado
26147190,ESCOLA ESTADUAL ORORUBA,Pesqueira,2603,1,1,28.1,18.719446601848446,9.380553398151555,Agreste,acima_do_esperado
26041529,ESCOLA MENINO JESUS,Floresta,2602,1,1,12.7,3.3582080359024093,9.34179196409759,Sertão,acima_do_esperado
26091828,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR JOSE MENDES DA SILVA,Timbaúba,2604,0,0,9.4,0.5786752722520462,8.821324727747955,Mata,acima_do_esperado
26019370,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO SANTA CRUZ,Santa Cruz da Baixa Verde,2601,0,0,9.5,1.7567761083694466,7.743223891630553,São Francisco,acima_do_esperado
26113236,ESCOLA DE REFERENCIA EM ENSINO MEDIO AUREA DE MOURA CAVALCANTI,Olinda,2605,0,0,7.8,0.21934755052655644,7.580652449473443,Metropolitana,acima_do_esperado
26050048,ESCOLA DE REFERENCIA EM ENSINO MEDIO BENTO AMERICO,Belo Jardim,2603,0,0,7.7,0.12179918253804776,7.578200817461952,Agreste,acima_do_esperado
26095530,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA EUDOXIA DE ALCANTARA FERREIRA,Vitória de Santo Antão,2604,0,0,7.4,0.031092563905156845,7.368907436094844,Mata,acima_do_esperado
26169975,ESCOLA JOSE ANTONIO FAGUNDES,Paudalho,2604,1,0,7.7,0.3549576817614336,7.3450423182385665,Mata,acima_do_esperado
26055040,ESCOLA SANTO AMARO,Caruaru,2603,0,0,8.5,1.169025904587258,7.330974095412742,Agreste,acima_do_esperado
26029812,ESCOLA AMARO LAFAYETTE,Sertânia,2601,0,0,7.9,0.6800227710644867,7.219977228935513,São Francisco,acima_do_esperado
26054850,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR MARIO SETTE,Caruaru,2603,0,0,6.7,0.2337509031274562,6.466249096872544,Agreste,acima_do_esperado
26055473,ESCOLA PAULINA MONTEIRO,Caruaru,2603,0,0,8.6,2.1495238250326643,6.450476174967335,Agreste,acima_do_esperado
26111284,ESCOLA VILA JOAO DE DEUS,Jaboatão dos Guararapes,2605,0,0,6.9,0.6253613589962899,6.27463864100371,Metropolitana,acima_do_esperado
26001896,ESCOLA VITALINA MARIA DE JESUS,Araripina,2601,0,0,6.9,0.6579952073267935,6.242004792673207,São Francisco,acima_do_esperado
26047365,ESCOLA FREI JOAO PEREIRA DE SOUZA,Itaíba,2603,1,0,6.2,0.00889785185813465,6.191102148141866,Agreste,acima_do_esperado
26042096,ESCOLA ESTADUAL INDIGENA JOSE LUCIANO,Jatobá,2602,1,1,0.0,27.979576883985146,-27.979576883985146,Sertão,abaixo_do_esperado
26186446,ESCOLA ESTADUAL INDIGENA QUITERIA MARIA DE JESUS,Jatobá,2602,1,1,1.8,24.837685066125417,-23.037685066125416,Sertão,abaixo_do_esperado
26042711,ESCOLA DO ESPINHEIRO,Tacaratu,2602,1,1,0.0,19.416249218979083,-19.416249218979083,Sertão,abaixo_do_esperado
26028506,ESCOLA ESTADUAL INDIGENA AIMBERE,Inajá,2601,1,1,1.6,19.30839346677503,-17.70839346677503,São Francisco,abaixo_do_esperado
26419831,ESCOLA ESTADUAL JOSE FERREIRA DA SILVA,Floresta,2602,1,1,2.2,19.468961974657244,-17.268961974657245,Sertão,abaixo_do_esperado
26043009,ESCOLA ESTADUAL INDIGENA SANTA CLARA,Tacaratu,2602,1,1,1.7,15.489160722161065,-13.789160722161066,Sertão,abaixo_do_esperado
26027186,ESCOLA INDIGENA PEDRO FERREIRA DE QUEIROZ,Ibimirim,2601,1,1,1.5,11.925024546759047,-10.425024546759047,São Francisco,abaixo_do_esperado
26040581,ESCOLA GOV ESTACIO COIMBRA,Carnaubeira da Penha,2602,1,1,2.4,12.026304531680113,-9.626304531680113,Sertão,abaixo_do_esperado
26044447,ESCOLA ESTADUAL INDIGENA FULNI-O MARECHAL RONDON,Águas Belas,2603,1,1,0.0,9.53915668632339,-9.53915668632339,Agreste,abaixo_do_esperado
26058758,ESCOLA ESTADUAL INDIGENA SANTA RITA,Pesqueira,2603,1,1,3.0,11.947725073002552,-8.947725073002552,Agreste,abaixo_do_esperado
26059150,ESCOLA ESTADUAL INDIGENA INTERMEDIARIA MONSENHOR OLIMPIO TORRES,Pesqueira,2603,1,1,0.5,8.987052105528909,-8.487052105528909,Agreste,abaixo_do_esperado
26028409,ESCOLA MARIA GILDETE ARAUJO,Inajá,2601,1,1,12.8,19.153724863539797,-6.353724863539796,São Francisco,abaixo_do_esperado
26040530,ESCOLA ESTADUAL INDIGENA TIA AMELIA CAXIADO,Carnaubeira da Penha,2602,1,1,0.0,5.925631778629447,-5.925631778629447,Sertão,abaixo_do_esperado
26104245,ESCOLA DE REFERENCIA EM ENSINO MEDIO SAO FRANCISCO DE ASSIS,São José da Coroa Grande,2604,0,0,0.0,4.855219156863999,-4.855219156863999,Mata,abaixo_do_esperado
26044404,ESCOLA ESTADUAL INDIGENA BILINGUE ANTONIO JOSE MOREIRA,Águas Belas,2603,0,1,0.0,4.796143248967344,-4.796143248967344,Agreste,abaixo_do_esperado
26042479,ESCOLA PANKARARUS,Jatobá,2602,1,1,5.1,9.395826405847078,-4.2958264058470785,Sertão,abaixo_do_esperado
