transicao,CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,taxa_real,taxa_prev,mat_t1,alunos_real,alunos_prev,residuo_alunos
2022-2023,26106582,ESCOLA GENERAL ABREU E LIMA,Abreu e Lima,0.0,0.6439600586891174,384.0,0.0,2.472806625366211,-2.472806625366211
2022-2023,26106612,ESCOLA MARECHAL COSTA E SILVA,Abreu e Lima,0.0,0.2247181534767151,215.0,0.0,0.4831440299749374,-0.4831440299749374
2022-2023,26106698,ESCOLA ORFANATO ESTRELA DE BETHEL,Abreu e Lima,0.0,0.24697166681289673,220.0,0.0,0.5433376669883728,-0.5433376669883728
2022-2023,26106701,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PASTOR AMARO DE SENA,Abreu e Lima,0.0,0.3257814347743988,138.0,0.0,0.44957837998867034,-0.44957837998867034
2022-2023,26106728,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO POLIVALENTE DE ABREU E LIMA,Abreu e Lima,0.0,1.2858210802078247,276.0,0.0,3.5488661813735964,-3.5488661813735964
2022-2023,26106957,ESCOLA DE REFERENCIA EM ENSINO MEDIO LUIZ RODOLFO DE ARAUJO JUNIOR,Abreu e Lima,0.0,0.21521155536174774,193.0,0.0,0.41535830184817313,-0.41535830184817313
2022-2023,26107074,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PROFESSORA AZINETE RAMOS CARNEIRO,Abreu e Lima,0.0,0.41766124963760376,100.0,0.0,0.4176612496376037,-0.4176612496376037
2022-2023,26107082,ESCOLA PROFESSORA ISAURA DE FRANCA,Abreu e Lima,0.0,0.3157361149787903,217.0,0.0,0.6851473695039749,-0.6851473695039749
2022-2023,26137149,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO STELA MARIA DOS SANTOS PINTO BARROS,Abreu e Lima,0.0,0.2247181534767151,256.0,0.0,0.5752784729003906,-0.5752784729003906
2022-2023,26178435,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA VIEIRA MULITERNO,Abreu e Lima,0.0,0.21521155536174774,372.0,0.0,0.8005869859457015,-0.8005869859457015
2022-2023,26189585,ESCOLA TECNICA ESTADUAL PASTOR ISAAC MARTINS RODRIGUES,Abreu e Lima,0.0,0.21521155536174774,478.0,0.0,1.0287112346291543,-1.0287112346291543
2022-2023,26014564,ESCOLA DE REFERENCIA EM ENSINO MEDIO NORMAL ESTADUAL PROFESSORA IONE DE GOES BARROS,Afogados da Ingazeira,0.0,0.3905818462371826,516.0,0.0,2.0154023265838625,-2.0154023265838625
2022-2023,26014572,ESCOLA CONEGO JOAO LEITE GONCALVES DE ANDRADE,Afogados da Ingazeira,2.1,0.5801945924758911,519.0,10.899000000000001,3.011209934949875,7.887790065050126
2022-2023,26014670,ESCOLA DE REFERENCIA EM ENSINO MEDIO MONSENHOR ANTONIO DE PADUA SANTOS,Afogados da Ingazeira,0.0,0.9016650319099426,308.0,0.0,2.7771282982826233,-2.7771282982826233
2022-2023,26030950,ESCOLA ANTONIO CAVALCANTI FILHO,Afrânio,0.0,0.3191629648208618,498.0,0.0,1.589431564807892,-1.589431564807892
2022-2023,26187566,ESCOLA ESTADUAL CLAUDIO RODRIGUES GALINDO,Afrânio,0.0,0.22814498841762543,81.0,0.0,0.1847974406182766,-0.1847974406182766
2022-2023,26540720,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA IRENE MARIA RAMOS COELHO,Afrânio,0.0,0.21863839030265808,300.0,0.0,0.6559151709079742,-0.6559151709079742
2022-2023,26081849,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR JOSE CONSTANTINO,Agrestina,0.0,0.2922905683517456,675.0,0.0,1.9729613363742828,-1.9729613363742828
2022-2023,26096030,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO VICENTE DE QUEIROZ,Água Preta,0.0,0.2173476219177246,551.0,0.0,1.1975853967666625,-1.1975853967666625
2022-2023,26096358,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO VICENTE DE QUEIROZ - USINA,Água Preta,0.0,0.5363278388977051,166.0,0.0,0.8903042125701904,-0.8903042125701904
2022-2023,26044412,ESCOLA JOAO RODRIGUES CARDOSO,Águas Belas,2.5,0.5185717940330505,1375.0,34.375,7.130362167954445,27.244637832045555
2022-2023,26044447,ESCOLA ESTADUAL INDIGENA FULNI-O MARECHAL RONDON,Águas Belas,20.1,8.077969551086426,131.0,26.331000000000003,10.582140111923216,15.748859888076787
2022-2023,26044862,ESCOLA DE REFERENCIA EM ENSINO MEDIO CORONEL NICOLAU SIQUEIRA,Águas Belas,0.0,0.3561614453792572,282.0,0.0,1.0043752759695053,-1.0043752759695053
2022-2023,26049562,ESCOLA DE REFERENCIA EM ENSINO MEDIO GONCALO ANTUNES BEZERRA,Alagoinha,0.0,0.7730857729911804,468.0,0.0,3.6180414175987243,-3.6180414175987243
2022-2023,26086905,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAQUINA LIRA,Aliança,0.0,0.2827492654323578,599.0,0.0,1.6936680999398233,-1.6936680999398233
2022-2023,26087022,ESCOLA CEL LUIZ IGNACIO PESSOA DE MELO,Aliança,0.0,0.2790364623069763,135.0,0.0,0.37669922411441803,-0.37669922411441803
2022-2023,26087030,ESCOLA DOM BOSCO,Aliança,0.5,0.4632096588611603,460.0,2.3000000000000003,2.1307644307613374,0.1692355692386629
2022-2023,26082020,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSE LINS DE FIGUEIREDO,Altinho,1.6,0.6851633191108704,205.0,3.2800000000000002,1.4045848041772842,1.875415195822716
