feature,shap_mean_abs
abnd_s2_t,0.33349514
tdi_med_t,0.20142591
abnd_t,0.15287347
abnd_s1_t,0.12694958
is_loc_diferenciada,0.11303185
reprov_t,0.09826644
afd_g1_t,0.05950239
alunos_por_turma,0.05504364
computadores_por_aluno,0.05344487
tdi_s3_t,0.051220983
ird_med_t,0.044694606
reprov_s2_t,0.04204578
inse_media,0.04188926
afd_g5_t,0.03970881
tdi_s2_t,0.03777073
CO_MESORREGIAO_2601,0.022265753
tdi_s1_t,0.021777812
abnd_s3_t,0.020516591
IN_LABORATORIO_INFORMATICA,0.016878596
reprov_s3_t,0.015862131
reprov_s1_t,0.013664939
pct_integral,0.010880902
is_rural,0.010841618
indice_infra,0.008307049
log_mat_med,0.0071774214
IN_BANDA_LARGA,0.0033108785
alunos_por_docente,0.0026538307
IN_INTERNET_ALUNOS,0.0025037376
afd_g3_t,0.0020495509
IN_BIBLIOTECA,0.0019097775
IN_ESGOTO_REDE_PUBLICA,0.0012057837
IN_AGUA_POTAVEL,0.0
oferta_em_nao_seriado,0.0
IN_AUDITORIO,0.0
IN_INTERNET,0.0
IN_REFEITORIO,0.0
IN_SALA_LEITURA,0.0
IN_QUADRA_ESPORTES,0.0
IN_LABORATORIO_CIENCIAS,0.0
CO_MESORREGIAO_2602,0.0
CO_MESORREGIAO_2603,0.0
CO_MESORREGIAO_2604,0.0
CO_MESORREGIAO_2605,0.0
