feature,ganho
is_loc_diferenciada,0.19535232
abnd_t,0.14022456
afd_g5_t,0.08589809
abnd_s2_t,0.07954059
tdi_med_t,0.05324083
abnd_s1_t,0.040642675
tdi_s2_t,0.04004366
reprov_t,0.026057135
CO_MESORREGIAO_2605,0.025675813
reprov_s2_t,0.02372476
tdi_s3_t,0.023188975
tdi_s1_t,0.02258217
abnd_s3_t,0.02214544
computadores_por_aluno,0.021989286
afd_g3_t,0.016688703
afd_g1_t,0.014990471
inse_media,0.014706074
ird_med_t,0.014647795
CO_MESORREGIAO_2601,0.013503471
pct_integral,0.012580511
reprov_s1_t,0.012363167
reprov_s3_t,0.01188001
alunos_por_docente,0.011701406
alunos_por_turma,0.010795944
IN_INTERNET_ALUNOS,0.0105039
CO_MESORREGIAO_2602,0.009991811
IN_LABORATORIO_INFORMATICA,0.009588208
IN_BANDA_LARGA,0.009190391
log_mat_med,0.008692317
indice_infra,0.0073930435
IN_BIBLIOTECA,0.0066492083
CO_MESORREGIAO_2603,0.0038273141
is_rural,0.0
IN_AGUA_POTAVEL,0.0
IN_ESGOTO_REDE_PUBLICA,0.0
IN_SALA_LEITURA,0.0
IN_REFEITORIO,0.0
IN_LABORATORIO_CIENCIAS,0.0
IN_AUDITORIO,0.0
IN_INTERNET,0.0
IN_QUADRA_ESPORTES,0.0
CO_MESORREGIAO_2604,0.0
